plant;scenario;sampling date;tiller;spike.name;stage;FLN.BM;ligule-difference(mm);dist ligule FL-FL-1 (mm);Dist spike heuight-ligule FL-1 (mm);Spike length (mm);obs;TS-stage
4blanc;S0b;08/03/2021;BM;4blanc_BM;7,2;;;;;4,822691115;;
42;S2;23/03/2021;T4;42_T4;;7;30;xx;xx;5,135529287;;
14;S6;15/03/2021;BM;14_BM;6,8;;;;;5,247361284;;
76;S7;29/03/2021;T4;76_T4;;8;70;xx;xx;5,62321879;;
2bleu;S0b;12/03/2021;T1;2bleu_T1;4,8;;;;;5,857519572;;
8rouge;S0b;08/03/2021;BM;8rouge_BM;6,5;;;;;5,97955123;;
82;S4;27/03/2021;T2.2;82_T2.2;;7;80;xx;xx;6,028363893;;
82;S4;27/03/2021;T4;82_T4;;7;80;xx;xx;6,028363893;;
74;S4;26/03/2021;T1.1;74_T1.1;;7;55;;;6,345646203;;
8bleu;S0b;12/03/2021;T2;8bleu_T2;4,5;;;;;6,372981295;;
73;S2;27/03/2021;T2.1;73_T2.1;;7;70;xx;xx;6,492084193;;
74;S4;26/03/2021;T1.2;74_T1.2;;7;55;;;6,560421921;;
47;S7;23/03/2021;T0;47_T0;;7;30;xx;-90;6,588980972;;
78;S4;27/03/2021;T4;78_T4;;7;65;xx;xx;6,810342756;;
5rouge;S0a;12/03/2021;T2;5rouge_T2;4,8;;;;;6,872822965;;
3rouge;S0a;12/03/2021;T2;3rouge_T2;5,8;;;;;7,185224009;;
4bleu;S0b;12/03/2021;T1;4bleu_T1;4,5;;;;;7,185224009;;
8bleu;S0b;12/03/2021;T1;8bleu_T1;4,8;;;;;7,185224009;;
77;S2;31/03/2021;T2.2;77_T2.2;;8;75;xx;xx;7,26332427;;
80;S7;26/03/2021;T2.1;80_T2.1;;7;55;xx;xx;7,273086802;;
73;S2;27/03/2021;T4;73_T4;;7;70;xx;xx;7,341424531;;
74;S4;26/03/2021;T4;74_T4;;7;55;;;7,810026097;;
74;S4;26/03/2021;T0;74_T0;;7;55;;;7,907651423;;
7bleu;S0a;12/03/2021;T1;7bleu_T1;5;;;;;8,278627662;;
81;S2;27/03/2021;T1.1;81_T1.1;;7;50;xx;xx;8,395778054;;
5rouge;S0a;12/03/2021;T1;5rouge_T1;5,2;;;;;8,395778054;;
73;S2;27/03/2021;T1.1;73_T1.1;;7;70;xx;xx;8,591028706;;
