plante;traitement;talle;spikelet.nb;flowering date
5;T0a;BM;3;01/04/2021
5;T0a;BM;4;01/04/2021
5;T0a;BM;5;01/04/2021
5;T0a;BM;6;02/04/2021
5;T0a;BM;7;02/04/2021
5;T0a;BM;8;01/04/2021
5;T0a;BM;9;01/04/2021
5;T0a;BM;10;31/03/2021
5;T0a;BM;11;31/03/2021
5;T0a;BM;12;31/03/2021
5;T0a;BM;13;01/04/2021
5;T0a;BM;14;01/04/2021
5;T0a;BM;15;02/04/2021
5;T0a;BM;16;31/03/2021
5;T0a;BM;17;01/04/2021
5;T0a;BM;18;02/04/2021
5;T0a;BM;19;02/04/2021
5;T0a;BM;20;02/04/2021
5;T0a;T1;1;03/04/2021
5;T0a;T1;2;03/04/2021
5;T0a;T1;3;03/04/2021
5;T0a;T1;4;02/04/2021
5;T0a;T1;5;02/04/2021
5;T0a;T1;6;02/04/2021
5;T0a;T1;7;01/04/2021
5;T0a;T1;8;01/04/2021
5;T0a;T1;9;01/04/2021
5;T0a;T1;10;01/04/2021
5;T0a;T1;11;01/04/2021
5;T0a;T1;12;31/03/2021
5;T0a;T1;13;02/04/2021
5;T0a;T1;14;31/03/2021
5;T0a;T1;15;31/03/2021
5;T0a;T1;16;31/03/2021
5;T0a;T1;17;01/04/2021
5;T0a;T1;18;02/04/2021
5;T0a;T1;19;01/04/2021
5;T0a;T1;20;01/04/2021
5;T0a;T1;21;01/04/2021
5;T0a;T1;22;31/03/2021
5;T0a;T2;2;03/04/2021
5;T0a;T2;3;03/04/2021
5;T0a;T2;4;03/04/2021
5;T0a;T2;5;03/04/2021
5;T0a;T2;6;03/04/2021
5;T0a;T2;7;03/04/2021
5;T0a;T2;8;03/04/2021
5;T0a;T2;9;02/04/2021
5;T0a;T2;10;02/04/2021
5;T0a;T2;11;02/04/2021
5;T0a;T2;12;01/04/2021
5;T0a;T2;13;01/04/2021
5;T0a;T2;14;01/04/2021
5;T0a;T2;15;01/04/2021
5;T0a;T2;16;01/04/2021
5;T0a;T2;17;01/04/2021
5;T0a;T2;18;01/04/2021
5;T0a;T2;19;02/04/2021
5;T0a;T2;20;02/04/2021
5;T0a;T2;21;01/04/2021
5;T0a;T3;5;07/04/2021
5;T0a;T3;6;07/04/2021
5;T0a;T3;7;07/04/2021
5;T0a;T3;8;07/04/2021
5;T0a;T3;9;06/04/2021
5;T0a;T3;10;06/04/2021
5;T0a;T3;11;06/04/2021
5;T0a;T3;12;06/04/2021
5;T0a;T3;13;06/04/2021
5;T0a;T3;15;05/04/2021
5;T0a;T3;16;05/04/2021
5;T0a;T3;17;05/04/2021
5;T0a;T3;18;05/04/2021
5;T0a;T3;19;05/04/2021
5;T0a;T3;20;06/04/2021
5;T0a;T3;21;06/04/2021
5;T0a;T3;22;06/04/2021
