plante;traitement;talle;spikelet.nb;flowering date
57;T1;BM;1;10/04/2021
57;T1;BM;2;10/04/2021
57;T1;BM;3;09/04/2021
57;T1;BM;4;10/04/2021
57;T1;BM;5;09/04/2021
57;T1;BM;6;08/04/2021
57;T1;BM;7;08/04/2021
57;T1;BM;8;08/04/2021
57;T1;BM;9;08/04/2021
57;T1;BM;10;08/04/2021
57;T1;BM;11;
57;T1;BM;12;
57;T1;BM;13;
57;T1;BM;14;07/04/2021
57;T1;BM;15;08/04/2021
57;T1;BM;16;08/04/2021
57;T1;BM;17;08/04/2021
57;T1;BM;18;07/04/2021
57;T1;BM;19;
57;T1;BM;20;
57;T1;BM;21;07/04/2021
57;T1;BM;22;06/04/2021
57;T1;BM;23;10/04/2021
57;T1;T0;;11/04/2021
57;T1;T1;;08/04/2021
57;T1;T2;;09/04/2021
57;T1;T3;;11/04/2021
57;T1;T1.1;;13/04/2021
57;T1;T2.1;;13/04/2021
62;T6;BM;1;
62;T6;BM;2;13/04/2021
62;T6;BM;3;
62;T6;BM;4;12/04/2021
62;T6;BM;5;12/04/2021
62;T6;BM;6;12/04/2021
62;T6;BM;7;12/04/2021
62;T6;BM;8;12/04/2021
62;T6;BM;9;12/04/2021
62;T6;BM;10;12/04/2021
62;T6;BM;11;12/04/2021
62;T6;BM;12;11/04/2021
62;T6;BM;13;11/04/2021
62;T6;BM;14;12/04/2021
62;T6;BM;15;12/04/2021
62;T6;BM;16;12/04/2021
62;T6;BM;17;12/04/2021
62;T6;BM;18;11/04/2021
62;T6;BM;19;10/04/2021
62;T6;BM;20;10/04/2021
62;T6;BM;21;10/04/2021
62;T6;BM;22;10/05/2021
62;T6;BM;23;10/05/2021
62;T6;BM;24;10/04/2021
62;T6;T0;;14/04/2021
62;T6;T1;;12/04/2021
62;T6;T2;;12/04/2021
62;T6;T3;;13/04/2021
62;T6;T1.1;;16/04/2021
62;T6;T2.1;;15/04/2021
65;T1;BM;1;08/04/2021
65;T1;BM;2;08/04/2021
65;T1;BM;3;07/04/2021
65;T1;BM;4;08/04/2021
65;T1;BM;5;08/04/2021
65;T1;BM;6;08/04/2021
65;T1;BM;7;07/04/2021
65;T1;BM;8;07/04/2021
65;T1;BM;9;08/04/2021
65;T1;BM;10;07/04/2021
65;T1;BM;11;07/04/2021
65;T1;BM;12;07/04/2021
65;T1;BM;13;07/04/2021
65;T1;BM;14;07/04/2021
65;T1;BM;15;06/04/2021
65;T1;BM;16;07/04/2021
65;T1;BM;17;06/04/2021
65;T1;BM;18;07/04/2021
65;T1;BM;19;06/04/2021
65;T1;BM;20;06/04/2021
65;T1;BM;21;06/04/2021
65;T1;BM;22;06/04/2021
65;T1;BM;23;06/04/2021
65;T1;T0;;10/04/2021
65;T1;T1;;07/04/2021
65;T1;T2;;07/04/2021
65;T1;T3;;09/04/2021
65;T1;T1.1;;10/04/2021
65;T1;T2.1;;10/04/2021
75;T6;BM;1;10/04/2021
75;T6;BM;2;09/04/2021
75;T6;BM;3;11/04/2021
75;T6;BM;4;11/04/2021
75;T6;BM;5;09/04/2021
75;T6;BM;6;11/04/2021
75;T6;BM;7;09/04/2021
75;T6;BM;8;09/04/2021
75;T6;BM;9;10/04/2021
75;T6;BM;10;10/04/2021
75;T6;BM;11;09/04/2021
75;T6;BM;12;09/04/2021
75;T6;BM;13;08/04/2021
75;T6;BM;14;08/04/2021
75;T6;BM;15;08/04/2021
75;T6;BM;16;08/04/2021
75;T6;BM;17;08/04/2021
75;T6;BM;18;08/04/2021
75;T6;BM;19;07/04/2021
75;T6;BM;20;07/04/2021
75;T6;T0;;14/04/2021
75;T6;T1;;09/04/2021
75;T6;T2;;10/04/2021
75;T6;T3;;14/04/2021
75;T6;T1.1;;12/04/2021
75;T6;T2.1;;15/04/2021
79;T6;BM;1;20/04/2021
79;T6;BM;2;20/04/2021
79;T6;BM;3;20/04/2021
79;T6;BM;4;12/04/2021
79;T6;BM;5;12/04/2021
79;T6;BM;6;12/04/2021
79;T6;BM;7;12/04/2021
79;T6;BM;8;12/04/2021
79;T6;BM;9;12/04/2021
79;T6;BM;10;12/04/2021
79;T6;BM;11;11/04/2021
